codgeo;libgeo;an;p_pop
02305;Fère-en-Tardenois;2021;2925
02306;La Ferté-Chevresis;2021;514
02307;La Ferté-Milon;2021;2047
02308;Fesmy-le-Sart;2021;503
02309;Festieux;2021;695
02310;Fieulaine;2021;249
02311;Filain;2021;119
02312;La Flamengrie;2021;1093
02313;Flavigny-le-Grand-et-Beaurain;2021;440
02315;Flavy-le-Martel;2021;1661
02316;Fleury;2021;125
02317;Fluquières;2021;205
02318;Folembray;2021;1370
02319;Fonsomme;2021;503
02320;Fontaine-lès-Clercs;2021;229
02321;Fontaine-lès-Vervins;2021;876
02322;Fontaine-Notre-Dame;2021;381
02323;Fontaine-Uterte;2021;136
02324;Fontenelle;2021;297
02326;Fontenoy;2021;464
02327;Foreste;2021;161
02328;Fossoy;2021;513
02329;Fourdrain;2021;424
02330;Francilly-Selency;2021;562
02331;Franqueville;2021;108
02332;Fresnes-en-Tardenois;2021;274
02333;Fresnes-sous-Coucy;2021;161
02334;Fresnoy-le-Grand;2021;2934
02335;Fressancourt;2021;175
02336;Frières-Faillouël;2021;981
02337;Froidestrées;2021;185
02338;Froidmont-Cohartille;2021;248
02339;Gandelu;2021;699
02340;Gauchy;2021;5204
02341;Gercy;2021;257
02342;Gergny;2021;131
02343;Germaine;2021;83
02345;Gibercourt;2021;38
02346;Gizy;2021;644
02347;Gland;2021;432
02349;Goudelancourt-lès-Berrieux;2021;59
02350;Goudelancourt-lès-Pierrepont;2021;139
02351;Goussancourt;2021;113
02352;Gouy;2021;567
02353;Grandlup-et-Fay;2021;275
02354;Grandrieux;2021;79
02355;Gricourt;2021;998
02356;Grisolles;2021;233
02357;Gronard;2021;66
02358;Grougis;2021;315
02359;Grugies;2021;1259
02360;Villeneuve-sur-Aisne;2021;2784
02361;Guise;2021;4533
02362;Guivry;2021;239
02363;Guny;2021;368
02364;Guyencourt;2021;250
02366;Hannapes;2021;327
02367;Happencourt;2021;161
02368;Haramont;2021;560
02369;Harcigny;2021;243
02370;Hargicourt;2021;571
02371;Harly;2021;1557
02372;Hartennes-et-Taux;2021;339
02373;Hary;2021;189
02374;Lehaucourt;2021;843
02375;Hautevesnes;2021;161
02376;Hauteville;2021;179
02377;Haution;2021;132
02378;La Hérie;2021;123
02379;Le Hérie-la-Viéville;2021;195
02380;Hinacourt;2021;27
02381;Hirson;2021;8662
02382;Holnon;2021;1356
02383;Homblières;2021;1433
02384;Houry;2021;58
02385;Housset;2021;167
02386;Iron;2021;221
02387;Itancourt;2021;999
02388;Iviers;2021;220
02389;Jaulgonne;2021;665
02390;Jeancourt;2021;255
02391;Jeantes;2021;218
02392;Joncourt;2021;319
02393;Jouaignes;2021;138
02395;Jumencourt;2021;132
02396;Jumigny;2021;63
02397;Jussy;2021;1219
02398;Juvigny;2021;280
02399;Juvincourt-et-Damary;2021;611
02400;Laffaux;2021;152
02401;Laigny;2021;187
02402;Lanchy;2021;37
02403;Landifay-et-Bertaignemont;2021;255
02404;Landouzy-la-Cour;2021;175
02405;Landouzy-la-Ville;2021;524
02406;Landricourt;2021;130
02407;Laniscourt;2021;210
02408;Laon;2021;24021
02409;Lappion;2021;277
02410;Largny-sur-Automne;2021;241
02411;Latilly;2021;199
02412;Launoy;2021;99
02413;Laval-en-Laonnois;2021;244
02414;Lavaqueresse;2021;200
02415;Laversine;2021;157
02416;Lemé;2021;415
02417;Lempire;2021;123
02418;Lerzy;2021;224
02419;Leschelle;2021;268
02420;Lesdins;2021;827
02421;Lesges;2021;91
02422;Lesquielles-Saint-Germain;2021;797
02423;Leuilly-sous-Coucy;2021;436
02424;Leury;2021;102
02425;Leuze;2021;180
02426;Levergies;2021;541
02427;Lhuys;2021;139
02428;Licy-Clignon;2021;74
02429;Lierval;2021;124
02430;Liesse-Notre-Dame;2021;1268
02431;Liez;2021;381
02432;Limé;2021;191
02433;Lislet;2021;221
02435;Logny-lès-Aubenton;2021;83
02438;Longpont;2021;242
02439;Les Septvallons;2021;1215
02440;Lor;2021;137
02441;Louâtre;2021;176
02442;Loupeigne;2021;89
02443;Lucy-le-Bocage;2021;209
02444;Lugny;2021;127
02445;Luzoir;2021;272
02446;Ly-Fontaine;2021;118
02447;Maast-et-Violaine;2021;140
02448;Mâchecourt;2021;113
02449;Macogny;2021;63
02450;Macquigny;2021;358
02451;Magny-la-Fosse;2021;122
02452;Maissemy;2021;234
02453;Maizy;2021;403
02454;La Malmaison;2021;404
02455;Malzy;2021;189
02456;Manicamp;2021;300
02457;Marchais;2021;392
02458;Dhuys et Morin-en-Brie;2021;823
02459;Marcy;2021;155
02460;Marcy-sous-Marle;2021;205
02461;Marest-Dampcourt;2021;356
02462;Mareuil-en-Dôle;2021;226
02463;Marfontaine;2021;84
02464;Margival;2021;362
02465;Marigny-en-Orxois;2021;528
02466;Marizy-Sainte-Geneviève;2021;129
02467;Marizy-Saint-Mard;2021;49
02468;Marle;2021;2221
02469;Marly-Gomont;2021;488
02470;Martigny;2021;432
02471;Martigny-Courpierre;2021;134
02472;Mauregny-en-Haye;2021;399
02473;Mayot;2021;220
02474;Mennessis;2021;394
02476;Mennevret;2021;671
